Country Code|Bank Code|Bank Name|Initials|SWIFT/BIC
BR|29030467|Scotiabank Brasil S.A. Banco Múltiplo|SCOTIABANK BRASIL|
BR|29162769|TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA|TORO CTVM LTDA|
BR|30306294|Banco BTG Pactual S.A.|BANCO BTG PACTUAL S.A.|
BR|30680829|"NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento|NU FINANCEIRA S.A. CFI|
BR|30723886|Banco Modal S.A.|BCO MODAL S.A.|
BR|31597552|BANCO CLASSICO S.A.|BCO CLASSICO S.A.|
BR|31749596|IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.|IDEAL CTVM S.A.|
BR|31872495|Banco C6 S.A.|BCO C6 S.A.|
BR|31880826|Banco Guanabara S.A.|BCO GUANABARA S.A.|
BR|31895683|Banco Industrial do Brasil S.A.|BCO INDUSTRIAL DO BRASIL S.A.|
BR|32062580|Banco Credit Suisse (Brasil) S.A.|BCO CREDIT SUISSE S.A.|
BR|32402502|QI Sociedade de Crédito Direto S.A.|QI SCD S.A.|
BR|32648370|FAIR CORRETORA DE CAMBIO S.A.|FAIR CC S.A.|
BR|32997490|Creditas Sociedade de Crédito Direto S.A.|CREDITAS SCD|
BR|33042151|Banco de la Nacion Argentina|BCO LA NACION ARGENTINA|
BR|33042953|Citibank N.A.|CITIBANK N.A.|
BR|33132044|BANCO CEDULA S.A.|BCO CEDULA S.A.|
BR|33147315|Banco Bradesco BERJ S.A.|BCO BRADESCO BERJ S.A.|
BR|33172537|BANCO J.P. MORGAN S.A.|BCO J.P. MORGAN S.A.|
BR|33264668|Banco XP S.A.|BCO XP S.A.|
BR|33466988|Banco Caixa Geral - Brasil S.A.|BCO CAIXA GERAL BRASIL S.A.|
BR|33479023|Banco Citibank S.A.|BCO CITIBANK S.A.|
BR|33603457|BANCO RODOBENS S.A.|BCO RODOBENS S.A.|
BR|33644196|Banco Fator S.A.|BCO FATOR S.A.|
BR|33657248|BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL|BNDES|
BR|33775974|"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES|ATIVA S.A. INVESTIMENTOS CCTVM|
BR|33862244|BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA|BGC LIQUIDEZ DTVM LTDA|
BR|33885724|Banco Itaú Consignado S.A.|BANCO ITAÚ CONSIGNADO S.A.|
BR|33923798|Banco Máxima S.A.|BCO MÁXIMA S.A.|
BR|34088029|LISTO SOCIEDADE DE CREDITO DIRETO S.A.|LISTO SCD S.A.|
BR|34111187|Haitong Banco de Investimento do Brasil S.A.|HAITONG BI DO BRASIL S.A.|
BR|34335592|ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.|ÓTIMO SCD S.A.|
